Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","SLV","El Salvador","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6110.301","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ARE","Émirats arabes unis","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6894.278","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ECU","Équateur","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","14447.562","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ERI","Érythrée","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4232.636","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ESP","Espagne","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","45997.806","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","EST","Estonie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1339.712","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","SWZ","Eswatini","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1158.897","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","USA","États-Unis d'Amérique","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","303374.067","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ETH","Éthiopie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","83184.892","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","RUS","Fédération de Russie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","143083.187","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","FJI","Fidji","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","843.34","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","FIN","Finlande","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","5319.902","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","FRA","France","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","62329.567","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GAB","Gabon","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1536.411","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GMB","Gambie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1588.572","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GEO","Géorgie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4340.514","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GHA","Ghana","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","23298.64","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GIB","Gibraltar","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","32.732","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GRC","Grèce","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","11419.647","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GRD","Grenade","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","103.93","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GRL","Groenland","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","56.841","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GLP","Guadeloupe","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","447.345","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GUM","Guam","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","159.035","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GTM","Guatemala","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","14006.366","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","GIN","Guinée","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","10323.142","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
